TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
1:02 PM,27.0,23.0,85,29.59,0.2,NNW,11.5,20.7,0.01,Fog-Snow,Heavy Snow,340,2016-01-23 18:02:00
1:25 PM,27.0,24.1,89,29.59,0.2,NNW,9.2,18.4,0.04,Fog,Light Freezing Fog,340,2016-01-23 18:25:00
1:53 PM,27.0,23.0,85,29.60,0.2,NNW,9.2,20.7,0.06,Fog-Snow,Heavy Snow,340,2016-01-23 18:53:00
2:53 PM,26.1,23.0,88,29.62,0.2,NNW,10.4,20.7,0.04,Fog,Light Freezing Fog,340,2016-01-23 19:53:00
3:29 PM,28.0,21.9,78,29.62,1.0,NNW,8.1,-,0.02,Snow,Light Snow,340,2016-01-23 20:29:00
3:33 PM,28.0,21.9,78,29.62,2.5,NNW,8.1,-,0.02,Snow,Light Snow,340,2016-01-23 20:33:00
3:40 PM,28.9,19.9,69,29.63,6.0,NNW,12.7,19.6,0.02,Snow,Light Snow,330,2016-01-23 20:40:00
3:53 PM,28.9,19.9,69,29.65,4.0,NNW,10.4,19.6,0.02,Snow,Light Snow,340,2016-01-23 20:53:00
4:11 PM,28.0,19.0,69,29.64,8.0,NNW,9.2,18.4,0.00,Snow,Light Snow,340,2016-01-23 21:11:00
4:23 PM,28.0,19.9,72,29.65,5.0,NNW,9.2,-,0.00,Snow,Light Snow,330,2016-01-23 21:23:00
4:33 PM,28.9,19.0,67,29.65,9.0,NNW,9.2,-,0.00,Snow,Light Snow,330,2016-01-23 21:33:00
4:53 PM,28.9,19.0,67,29.68,9.0,NNW,9.2,-,0.00,Snow,Light Snow,340,2016-01-23 21:53:00
5:53 PM,28.9,19.0,67,29.72,9.0,NNW,10.4,-,0.00,Snow,Light Snow,340,2016-01-23 22:53:00
6:53 PM,28.9,19.9,69,29.75,9.0,NNW,4.6,-,0.00,Snow,Light Snow,330,2016-01-23 23:53:00
7:53 PM,30.0,21.0,69,29.78,9.0,NNW,8.1,-,0.00,Snow,Light Snow,340,2016-01-24 00:53:00
8:53 PM,30.0,19.9,66,29.81,9.0,NNW,12.7,21.9,0.00,Snow,Light Snow,340,2016-01-24 01:53:00
9:53 PM,30.9,19.9,64,29.82,9.0,NNW,12.7,18.4,0.00,Snow,Light Snow,330,2016-01-24 02:53:00
10:53 PM,30.9,19.0,61,29.84,9.0,NNW,6.9,-,0.00,Snow,Light Snow,330,2016-01-24 03:53:00
11:53 PM,32.0,17.1,54,29.85,10.0,NW,9.2,-,0.00,,Overcast,320,2016-01-24 04:53:00
